,R,,,,,,,,,,
,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11
r1,.1405084,.1173902,.,.1270976,.1640722,.,.0643349,.0711669,.,.0255492,.0255492
r2,.0442326,.0202517,.,.094658,.0344744,.,.0418682,.0359597,.,.026906,.026906
r3,.0014902,6.77e-09,.,.1793681,1.94e-06,.,.1243903,.0478079,.,.3423301,.3423301
r4,.0007451,3.38e-09,.,.089684,9.72e-07,.,.0621951,.0239039,.,.1711651,.1711651
r5,27,27,.,7,7,.,22,22,.,13,13
r6,.,.,.,.,.,.,.,.,.,.,.
r7,.1121024,.0759877,.,-.35,-.35,.,-.1085081,-.0348966,.,-.0108702,-.0108702
r8,.1112569,.031261,.,.1540474,.1540474,.,.1806461,.1006337,.,.0376304,.0376304
r9,.3136467,.0150676,.,.0230849,.0230849,.,.548062,.728765,.,.7726838,.7726838
r10,.1568234,.0075338,.,.9884576,.9884576,.,.725969,.6356175,.,.6136581,.6136581
r11,6,6,.,1,1,.,6,6,.,2,2
r12,.,.,.,.,.,.,.,.,.,.,.
r13,.1544873,.1473319,.,.1981166,.1911756,.,.0866922,.0866922,.,.0636427,.0636427
r14,.0435276,.0265845,.,.0862143,.0353716,.,.0385017,.0385017,.,.0384856,.0384856
r15,.0003864,2.99e-08,.,.0215643,6.49e-08,.,.0243448,.0243448,.,.0981939,.0981939
r16,.0001932,1.49e-08,.,.0107822,3.24e-08,.,.0121724,.0121724,.,.049097,.049097
r17,21,21,.,6,6,.,16,16,.,11,11
r18,.,.,.,.,.,.,.,.,.,.,.
r19,.1725541,.1573299,.,.1981166,.1911756,.,.0949195,.0962205,.,.0204115,.0204115
r20,.0506607,.0290769,.,.0862143,.0353716,.,.0483192,.0419289,.,.0822747,.0822747
r21,.000659,6.27e-08,.,.0215643,6.49e-08,.,.0494806,.0217418,.,.8040655,.8040655
r22,.0003295,3.14e-08,.,.0107822,3.24e-08,.,.0247403,.0108709,.,.4020327,.4020327
r23,16,16,.,6,6,.,11,11,.,5,5
r24,.,.,.,.,.,.,.,.,.,.,.
r25,.6463592,.7480592,.,.4008049,.4719459,.,.2869096,.3370638,.,-.4,-.4
r26,.3249254,.0871881,.,.1520256,.0757349,.,.1489685,.0852185,.,.4336801,.4336801
r27,.0466732,9.50e-18,.,.0083783,4.62e-10,.,.0541075,.0000764,.,.3563518,.3563518
r28,.0233366,0,.,.0041892,2.31e-10,.,.0270537,.0000382,.,.8218241,.8218241
r29,4,4,.,3,3,.,4,4,.,1,1
r30,.,.,.,.,.,.,.,.,.,.,.
r31,.1940975,.1496745,.,.1741743,.2169159,.,.1018442,.1113563,.,.0239175,.0239175
r32,.0532201,.0197266,.,.0891139,.0313767,.,.0483959,.0331309,.,.0268544,.0268544
r33,.0002652,3.26e-14,.,.0506406,4.74e-12,.,.035344,.0007763,.,.3731245,.3731245
r34,.0001326,1.63e-14,.,.0253203,2.37e-12,.,.017672,.0003882,.,.1865623,.1865623
r35,31,31,.,10,10,.,26,26,.,14,14
r36,.,.,.,.,.,.,.,.,.,.,.
